type	latitude	longitude	altitude (m)	slope (%)	distance (km)	distance_interval (m)	name	desc
T	20.572643810	-75.222249596	51.4	-5.1	1.784	15.03		
T	20.572779773	-75.222296180	51.1	-1.9	1.800	15.82		
T	20.572916065	-75.222342875	51.0	-0.2	1.816	15.86		
T	20.573050590	-75.222387229	50.8	-1.4	1.831	15.59		
T	20.573184990	-75.222431216	51.3	2.9	1.847	15.57		
T	20.573320729	-75.222476523	51.7	3.1	1.863	15.75		
T	20.573458780	-75.222556464	52.2	2.7	1.880	17.41		
T	20.573632808	-75.222577045	51.8	-2.4	1.899	19.39		
T	20.573808960	-75.222631769	49.9	-9.4	1.920	20.32		
T	20.573949889	-75.222649252	48.0	-11.8	1.935	15.71		
T	20.574091779	-75.222699881	45.6	-14.8	1.952	16.57		
T	20.574234534	-75.222751158	42.9	-16.2	1.969	16.68		
T	20.574376861	-75.222769076	40.2	-16.6	1.984	15.87		
T	20.574520475	-75.222820624	38.0	-13.3	2.001	16.78		
T	20.574735373	-75.222880488	35.6	-9.6	2.026	24.60		
T	20.574877879	-75.222930120	34.7	-5.8	2.042	16.60		
T	20.575021950	-75.222981129	33.5	-7.2	2.059	16.81		
T	20.575200293	-75.223001543	31.2	-11.4	2.079	19.86		
T	20.575339658	-75.223047051	30.0	-7.3	2.095	16.14		
T	20.575512833	-75.223061340	30.0	-0.3	2.114	19.23		
T	20.575687564	-75.223076800	30.4	2.2	2.134	19.41		
T	20.575827687	-75.223089198	30.9	3.0	2.149	15.57		
T	20.575968110	-75.223101624	30.4	-2.8	2.165	15.60		
T	20.576071231	-75.223075443	30.1	-2.5	2.177	11.74		
T	20.576242509	-75.223052972	30.5	1.8	2.196	19.11		
T	20.576379543	-75.223028061	31.0	3.2	2.211	15.39		
T	20.576515284	-75.223001639	31.8	5.6	2.227	15.28		
T	20.576685445	-75.222977079	32.7	4.7	2.246	19.01		
T	20.576820848	-75.222916466	32.5	-1.3	2.262	16.27		
T	20.576957346	-75.222889937	32.5	0.2	2.277	15.36		
T	20.577097116	-75.222832746	33.5	5.9	2.294	16.58		
T	20.577165638	-75.222769311	33.5	0.3	2.304	10.06		
T	20.577302874	-75.222642264	33.3	-1.1	2.324	20.16		
T	20.577402910	-75.222477020	32.8	-2.7	2.345	20.48		
T	20.577468008	-75.222342938	33.5	4.8	2.360	15.73		
T	20.577531684	-75.222173910	34.8	6.8	2.379	18.98		
T	20.577519924	-75.221895255	40.0	17.9	2.408	29.08		
T	20.577508424	-75.221717787	44.6	24.7	2.427	18.55		
T	20.577533167	-75.221543441	45.0	1.9	2.445	18.38		
T	20.577519180	-75.221330595	44.1	-3.7	2.467	22.25		
T	20.577510668	-75.221189461	44.0	-0.5	2.482	14.74		
T	20.577501903	-75.221014592	44.7	3.6	2.500	18.26		
T	20.577489639	-75.220769915	46.2	6.0	2.526	25.55		
T	20.577443305	-75.220557845	47.2	4.2	2.549	22.70		
T	20.577429325	-75.220278654	49.5	7.9	2.578	29.15		
T	20.577383185	-75.220067140	50.0	2.0	2.601	22.64		
T	20.577306453	-75.219924419	49.6	-1.9	2.618	17.13		
T	20.577290972	-75.219644805	49.1	-1.9	2.647	29.20		
T	20.577207771	-75.219397236	50.4	4.8	2.674	27.41		
T	20.577165260	-75.219256168	51.8	9.3	2.690	15.44		
T	20.577118904	-75.219045530	54.1	10.0	2.712	22.55		
T	20.577041800	-75.218903355	55.6	8.5	2.729	17.11		
T	20.576999921	-75.218763081	55.3	-2.0	2.745	15.34		
T	20.576960873	-75.218557738	54.2	-4.8	2.767	21.84		
T	20.576956714	-75.218387437	54.2	0.0	2.784	17.76		
T	20.576917675	-75.218182171	53.6	-2.5	2.806	21.83		
T	20.576880578	-75.218011700	52.7	-5.3	2.824	18.24		
T	20.576845294	-75.217808817	51.7	-4.5	2.846	21.51		
T	20.576847604	-75.217675979	51.5	-1.2	2.860	13.85		
T	20.576852234	-75.217443601	51.1	-1.7	2.884	24.23		
T	20.576844792	-75.217170348	50.0	-4.0	2.912	28.50		
T	20.576841993	-75.217067886	49.3	-6.8	2.923	10.69		
T	20.576838271	-75.216931260	48.4	-5.7	2.937	14.25		
T	20.576830827	-75.216658008	49.6	3.9	2.966	28.50		
T	20.576792405	-75.216520445	48.9	-4.2	2.981	14.96		
T	20.576750283	-75.216246374	47.9	-3.4	3.010	28.95		
T	20.576746562	-75.216109807	47.6	-2.5	3.024	14.24		
T	20.576740983	-75.215904952	48.1	2.3	3.045	21.37		
T	20.576733544	-75.215631808	47.9	-0.7	3.074	28.49		
T	20.576758922	-75.215291039	46.4	-4.2	3.110	35.64		
T	20.576820184	-75.214984963	46.4	0.1	3.142	32.62		
T	20.576843302	-75.214676632	48.0	4.9	3.174	32.25		
T	20.576901846	-75.214369013	49.1	3.4	3.207	32.72		
T	20.576893618	-75.214061461	48.7	-1.3	3.239	32.08		
T	20.576927235	-75.213892214	48.1	-3.4	3.257	18.03		
T	20.576925131	-75.213688286	48.8	3.4	3.279	21.26		
T	20.576924305	-75.213552484	48.9	0.7	3.293	14.16		
T	20.576958804	-75.213315315	47.7	-4.7	3.318	25.02		
T	20.576954147	-75.213144175	46.6	-6.5	3.336	17.85		
T	20.576984688	-75.212939344	45.4	-5.6	3.357	21.62		
T	20.577051629	-75.212734914	44.5	-3.7	3.380	22.57		
T	20.577117644	-75.212529962	44.0	-2.1	3.402	22.58		
T	20.577183301	-75.212358712	45.9	9.6	3.422	19.28		
T	20.577244041	-75.212186015	48.3	12.8	3.441	19.22		
T	20.577302206	-75.211978539	51.5	13.9	3.463	22.57		
T	20.577436158	-75.211806251	50.4	-4.6	3.487	23.29		
T	20.577465936	-75.211702552	49.7	-6.3	3.498	11.30		
T	20.577488968	-75.211494979	48.6	-5.2	3.520	21.79		
T	20.577514216	-75.211322055	48.5	-0.3	3.538	18.24		
T	20.577500155	-75.211114462	51.0	11.2	3.560	21.70		
T	20.577479920	-75.210837726	56.2	18.1	3.589	28.94		
T	20.577495928	-75.210561215	58.0	6.2	3.618	28.88		
T	20.577476111	-75.210319399	59.0	4.1	3.643	25.31		
T	20.577460831	-75.210180848	59.9	5.8	3.657	14.54		
T	20.577437006	-75.209973271	61.6	7.8	3.679	21.80		
T	20.577486748	-75.209765431	66.1	20.1	3.702	22.36		
T	20.577431464	-75.209385559	76.5	26.1	3.742	40.08		
T	20.577305403	-75.208664968	89.8	17.4	3.818	76.41		
T	20.577235361	-75.208324761	101.8	33.1	3.854	36.31		
T	20.577144661	-75.208020484	118.9	51.4	3.888	33.28		
T	20.577064626	-75.207752547	138.8	67.9	3.917	29.31		
T	20.576929476	-75.207488743	162.0	74.1	3.948	31.31		
T	20.576861372	-75.207191740	177.2	47.6	3.980	31.87		
T	20.576801976	-75.206929525	182.5	18.8	4.008	28.12		
T	20.576747438	-75.206700387	183.6	4.7	4.033	24.64		
T	20.576725534	-75.206437518	181.2	-8.8	4.060	27.51		
T	20.576640602	-75.206111219	176.9	-12.2	4.096	35.30		
T	20.576636511	-75.205847106	178.5	5.7	4.123	27.54		
T	20.576635387	-75.205615575	180.7	9.3	4.147	24.14		
T	20.576634262	-75.205383890	180.0	-3.0	4.172	24.16		
T	20.576632814	-75.205085788	175.9	-13.3	4.203	31.08		
T	20.576630592	-75.204820772	174.9	-3.4	4.230	27.63		
T	20.576625536	-75.204556183	174.7	-0.8	4.258	27.59		
T	20.576686062	-75.204321644	174.1	-2.4	4.283	25.35		
T	20.576679371	-75.204123724	173.6	-2.2	4.304	20.65		
T	20.576667807	-75.203860551	178.5	17.6	4.331	27.47		
T	20.576692867	-75.203628083	181.7	13.1	4.356	24.40		
T	20.576704434	-75.203291894	176.6	-14.4	4.391	35.07		
T	20.576723659	-75.203086094	169.2	-34.3	4.412	21.56		
T	20.576742746	-75.202879719	162.0	-33.2	4.434	21.62		
T	20.576758698	-75.202707257	156.3	-31.7	4.452	18.07		
T	20.576781098	-75.202465069	149.3	-27.8	4.477	25.37		
T	20.576803578	-75.202222014	143.0	-24.6	4.503	25.46		
T	20.576828601	-75.201943450	137.3	-19.4	4.532	29.18		
T	20.576845841	-75.201666800	133.9	-11.7	4.561	28.91		
T	20.576829461	-75.201391542	128.9	-17.6	4.590	28.76		
T	20.576838087	-75.201116888	123.9	-17.3	4.618	28.65		
T	20.576842363	-75.200843591	120.9	-10.7	4.647	28.50		
T	20.576811760	-75.200606798	122.5	6.6	4.672	24.92		
T	20.576805296	-75.200405835	123.3	3.6	4.693	20.96		
T	20.576758503	-75.200210516	126.5	15.4	4.714	21.01		
T	20.576754197	-75.200076649	127.7	8.3	4.728	13.97		
T	20.576720920	-75.199942976	129.0	9.4	4.742	14.42		
T	20.576657192	-75.199810199	129.4	2.4	4.758	15.54		
T	20.576596535	-75.199641785	126.4	-16.0	4.776	18.80		
T	20.576573884	-75.199468345	121.1	-29.0	4.795	18.26		
T	20.576429245	-75.199177695	112.7	-24.6	4.829	34.27		
T	20.576344841	-75.199022418	110.9	-9.4	4.848	18.69		
T	20.576278164	-75.198925453	110.5	-3.1	4.860	12.52		
T	20.576179771	-75.198728078	111.1	2.5	4.883	23.28		
T	20.576100743	-75.198570568	111.3	1.0	4.902	18.61		
T	20.576031798	-75.198441226	111.5	1.1	4.918	15.50		
T	20.575956407	-75.198316015	110.3	-7.5	4.933	15.49		
T	20.575879692	-75.198191889	109.1	-7.8	4.949	15.48		
T	20.575806792	-75.198065566	107.9	-7.7	4.964	15.45		
T	20.575698679	-75.197943576	109.3	8.2	4.981	17.47		
T	20.575548429	-75.197796903	110.8	6.6	5.004	22.60		
T	20.575431407	-75.197681945	115.6	27.0	5.022	17.65		
T	20.575348739	-75.197563741	121.8	40.7	5.037	15.35		
T	20.575261082	-75.197415722	130.3	46.6	5.055	18.23		
T	20.575205895	-75.197265720	137.3	41.7	5.072	16.79		
T	20.575111866	-75.197089952	144.7	35.0	5.093	21.08		
T	20.575100907	-75.196996974	147.2	25.1	5.103	9.77		
T	20.575049895	-75.196878972	151.0	28.0	5.116	13.54		
T	20.574987690	-75.196736385	155.3	26.5	5.133	16.38		
T	20.574926948	-75.196526175	155.5	0.7	5.156	22.93		
T	20.574886429	-75.196367597	154.1	-7.7	5.173	17.13		
T	20.574807236	-75.196250919	155.5	9.0	5.188	15.00		
T	20.574765360	-75.196093927	154.8	-3.8	5.205	17.01		
T	20.574724309	-75.195970000	154.4	-3.4	5.219	13.70		
T	20.574605233	-75.195830399	158.2	19.7	5.238	19.64		
T	20.574525669	-75.195749135	160.2	16.3	5.250	12.22		
T	20.574482804	-75.195627682	158.7	-11.6	5.264	13.52		
T	20.574365194	-75.195488663	157.9	-3.8	5.283	19.48		
T	20.574295544	-75.195433000	157.8	-1.9	5.293	9.65		
T	20.574156502	-75.195321878	156.9	-4.5	5.312	19.27		
T	20.574016948	-75.195245206	159.1	12.6	5.330	17.40		
T	20.573829639	-75.195187560	163.5	20.8	5.351	21.59		
T	20.573678309	-75.195157142	168.2	27.4	5.368	17.05		
T	20.573530258	-75.195157493	173.2	30.3	5.385	16.39		
T	20.573349292	-75.195196113	179.1	28.7	5.405	20.44		
T	20.573096795	-75.195250611	186.6	26.5	5.434	28.53		
T	20.572952106	-75.195282857	191.1	27.2	5.450	16.37		
T	20.572736296	-75.195330954	198.6	31.0	5.475	24.41		
T	20.572462725	-75.195381959	209.4	35.0	5.505	30.75		
T	20.572330180	-75.195403558	215.0	38.1	5.520	14.85		
T	20.572197270	-75.195425899	219.8	32.0	5.535	14.90		
T	20.572029910	-75.195423102	221.3	7.9	5.554	18.53		
T	20.571896137	-75.195414756	221.3	0.1	5.568	14.84		
T	20.571697138	-75.195417540	218.4	-13.0	5.590	22.03		
T	20.571466419	-75.195425840	222.6	16.2	5.616	25.56		
T	20.571235229	-75.195403755	229.3	26.0	5.642	25.70		
T	20.571077680	-75.195393739	233.2	22.2	5.659	17.47		
T	20.570890779	-75.195321664	233.4	1.0	5.681	22.01		
T	20.570705812	-75.195280242	230.7	-12.7	5.702	20.93		
T	20.570493862	-75.195270880	226.2	-19.4	5.726	23.49		
T	20.570326887	-75.195207295	220.7	-27.9	5.745	19.64		
T	20.570157091	-75.195179532	212.4	-43.5	5.764	19.02		
T	20.570009969	-75.195158587	204.3	-49.7	5.781	16.43		
T	20.569835746	-75.195169321	199.5	-24.8	5.800	19.32		
T	20.569634431	-75.195179349	195.1	-19.5	5.822	22.31		
T	20.569519446	-75.195185076	193.3	-14.6	5.835	12.74		
T	20.569260873	-75.195197955	190.1	-11.1	5.864	28.66		
T	20.569088969	-75.195205977	187.3	-14.4	5.883	19.05		
T	20.568918078	-75.195212558	183.6	-19.5	5.902	18.93		
T	20.568718746	-75.195220236	177.8	-26.2	5.924	22.08		
T	20.568547446	-75.195195087	172.4	-28.3	5.943	19.15		
T	20.568371438	-75.195177708	166.8	-29.0	5.963	19.57		
T	20.568252045	-75.195158945	163.4	-24.7	5.976	13.36		
T	20.568073739	-75.195146296	159.4	-20.5	5.996	19.78		
T	20.567954754	-75.195127587	158.9	-3.8	6.009	13.32		
T	20.567834790	-75.195110936	159.0	0.8	6.022	13.39		
T	20.567651966	-75.195108208	162.4	16.9	6.043	20.24		
T	20.567499008	-75.195102588	166.7	25.3	6.060	16.94		
T	20.567347981	-75.195126720	171.2	26.6	6.076	16.91		
T	20.567167361	-75.195155579	175.2	19.7	6.097	20.22		
T	20.566987407	-75.195184332	177.5	11.4	6.117	20.15		
T	20.566837949	-75.195208212	180.6	18.4	6.134	16.73		
T	20.566629560	-75.195241343	185.5	21.0	6.157	23.33		
