type	latitude	longitude	altitude (m)	slope (%)	distance (km)	distance_interval (m)	name	desc
T	20.565207299	-75.196435753	181.2	12.5	39.880	68.00		
T	20.565668826	-75.196309790	176.6	-8.7	39.933	52.76		
T	20.566176950	-75.196215500	165.6	-19.3	39.990	57.11		
T	20.566601821	-75.196167029	149.8	-33.5	40.038	47.31		
T	20.566995801	-75.196165427	144.3	-12.5	40.081	43.62		
T	20.567381793	-75.196183759	148.8	10.4	40.124	42.78		
T	20.567791282	-75.196245039	157.3	18.5	40.170	45.78		
T	20.568168630	-75.196315385	168.1	25.6	40.212	42.42		
T	20.568572750	-75.196420611	177.0	19.3	40.258	46.07		
T	20.568835944	-75.196497766	178.0	3.2	40.288	30.23		
T	20.569040154	-75.196515820	183.3	23.3	40.311	22.69		
T	20.569333008	-75.196526895	192.9	29.7	40.344	32.44		
T	20.569450351	-75.196518365	196.6	28.5	40.357	13.02		
T	20.569597173	-75.196507693	195.4	-7.6	40.373	16.29		
T	20.569685344	-75.196501284	194.6	-8.2	40.383	9.78		
T	20.569802993	-75.196492732	194.4	-1.0	40.396	13.06		
T	20.569976750	-75.196483446	194.9	2.5	40.415	19.26		
T	20.570155242	-75.196468611	200.2	26.4	40.435	19.82		
T	20.570334030	-75.196453750	206.7	33.0	40.455	19.85		
T	20.570509948	-75.196410243	215.7	45.2	40.475	20.00		
T	20.570751620	-75.196355174	220.7	18.1	40.502	27.36		
T	20.571023229	-75.196265953	216.2	-14.2	40.534	31.48		
T	20.571302577	-75.196201294	205.5	-33.9	40.565	31.65		
T	20.571593539	-75.196157657	199.6	-18.1	40.598	32.53		
T	20.571852129	-75.196120252	203.0	11.8	40.627	28.89		
T	20.572138225	-75.196084524	210.1	22.1	40.658	31.89		
T	20.572397315	-75.196081603	210.8	2.6	40.687	28.69		
T	20.572618930	-75.196056418	207.7	-12.8	40.712	24.68		
T	20.572762979	-75.196090773	204.3	-20.4	40.728	16.35		
T	20.573050352	-75.196096655	194.1	-32.0	40.760	31.82		
T	20.573200120	-75.196160666	192.2	-10.9	40.778	17.87		
T	20.573378511	-75.196159355	190.5	-8.5	40.798	19.75		
T	20.573513221	-75.196073627	189.2	-7.4	40.815	17.39		
T	20.573613228	-75.195993799	187.3	-14.0	40.829	13.85		
T	20.573714453	-75.195912877	184.6	-19.4	40.843	14.03		
T	20.573860741	-75.195783590	179.8	-22.4	40.864	21.07		
T	20.574006713	-75.195654616	172.4	-35.4	40.885	21.02		
T	20.574150391	-75.195561112	165.6	-36.4	40.904	18.66		
T	20.574294651	-75.195467230	158.9	-35.9	40.922	18.73		
T	20.574440409	-75.195338655	151.8	-33.6	40.943	20.98		
T	20.574474426	-75.195199830	150.7	-7.3	40.958	14.96		
T	20.574296146	-75.195198390	152.9	11.1	40.978	19.74		
T	20.574011042	-75.195184084	158.7	18.3	41.010	31.60		
T	20.573683470	-75.195218553	168.1	25.8	41.046	36.44		
T	20.573389708	-75.195250313	177.4	28.3	41.079	32.69		
T	20.573096795	-75.195250611	186.6	28.6	41.111	32.43		
T	20.572771382	-75.195290953	196.5	27.3	41.148	36.27		
T	20.572491401	-75.195283203	206.5	32.1	41.179	31.01		
T	20.572223263	-75.195297570	218.2	39.4	41.208	29.72		
T	20.571854388	-75.195267544	220.5	5.8	41.249	40.96		
T	20.571456082	-75.195243372	224.3	8.4	41.293	44.17		
T	20.571071849	-75.195109799	232.2	17.8	41.338	44.76		
T	20.570735092	-75.195052145	229.1	-8.3	41.376	37.76		
T	20.570354900	-75.194980622	219.0	-23.6	41.419	42.75		
T	20.569948577	-75.194907814	200.6	-40.3	41.464	45.62		
T	20.569572352	-75.194800015	191.8	-20.4	41.507	43.14		
T	20.569225398	-75.194722971	188.2	-9.1	41.547	39.24		
T	20.568965351	-75.194640897	182.0	-20.5	41.577	30.04		
T	20.568731447	-75.194561832	175.1	-25.4	41.604	27.18		
T	20.568526203	-75.194481840	170.3	-20.0	41.628	24.21		
T	20.568195044	-75.194460974	166.7	-9.9	41.665	36.73		
T	20.567954058	-75.194462702	167.7	3.8	41.691	26.68		
T	20.567832021	-75.194418271	169.8	14.5	41.706	14.28		
T	20.567649868	-75.194416054	175.4	28.0	41.726	20.17		
T	20.567468775	-75.194445517	182.3	34.2	41.746	20.28		
T	20.567287087	-75.194444882	184.3	9.8	41.766	20.12		
T	20.567080035	-75.194473562	185.4	4.6	41.789	23.12		
T	20.566905394	-75.194493186	185.7	1.5	41.809	19.44		
T	20.566730486	-75.194514174	185.6	-0.2	41.828	19.49		
T	20.566554428	-75.194571161	183.5	-10.6	41.849	20.38		
T	20.566407640	-75.194592554	180.5	-17.8	41.865	16.40		
T	20.566236547	-75.194607330	176.7	-20.2	41.884	19.00		
T	20.566066885	-75.194619180	173.1	-19.2	41.903	18.82		
T	20.565869159	-75.194632989	169.2	-17.7	41.925	21.94		
T	20.565699860	-75.194644813	166.2	-15.8	41.944	18.78		
T	20.565558907	-75.194654657	163.9	-15.1	41.959	15.64		
T	20.565418068	-75.194664493	161.2	-17.4	41.975	15.63		
T	20.565333440	-75.194736568	161.6	3.6	41.987	12.01		
T	20.565164681	-75.194781368	159.1	-13.0	42.006	19.26		
T	20.564996458	-75.194891065	157.6	-7.0	42.028	21.86		
T	20.564773943	-75.195000079	154.3	-12.0	42.055	27.13		
T	20.564494760	-75.195116408	147.3	-21.1	42.088	33.20		
T	20.564299979	-75.195226796	145.7	-6.5	42.113	24.44		
T	20.564105328	-75.195304633	144.6	-5.0	42.136	23.03		
T	20.564022576	-75.195407351	144.6	0.5	42.150	14.09		
T	20.563801234	-75.195518145	143.6	-3.9	42.177	27.09		
T	20.563663534	-75.195589855	143.1	-3.0	42.194	16.98		
T	20.563554392	-75.195690527	142.7	-2.1	42.210	16.01		
T	20.563445378	-75.195791048	141.4	-8.3	42.226	15.99		
T	20.563335541	-75.195827869	139.0	-18.7	42.239	12.75		
T	20.563226246	-75.195896459	135.5	-24.8	42.253	14.06		
T	20.563089083	-75.195934032	131.1	-28.3	42.269	15.68		
T	20.562951359	-75.195940410	125.3	-37.7	42.284	15.26		
T	20.562840630	-75.195948669	120.5	-39.7	42.296	12.29		
T	20.562729990	-75.195956923	117.1	-27.1	42.308	12.28		
T	20.562618573	-75.195935253	115.5	-13.1	42.321	12.54		
T	20.562452916	-75.195947628	114.4	-5.9	42.339	18.39		
T	20.562341727	-75.195925985	115.5	8.9	42.352	12.52		
T	20.562202021	-75.195914600	117.2	10.5	42.367	15.51		
T	20.562089793	-75.195903905	119.1	15.8	42.380	12.47		
T	20.561976161	-75.195833707	122.4	22.6	42.394	14.55		
T	20.561890502	-75.195758882	124.1	14.0	42.407	12.28		
T	20.561805870	-75.195713949	125.5	13.0	42.417	10.48		
T	20.561665020	-75.195654397	127.4	11.4	42.434	16.78		
T	20.561581401	-75.195643380	130.0	27.8	42.443	9.33		
T	20.561557514	-75.195763954	130.5	3.9	42.456	12.85		
T	20.561564000	-75.195963343	128.3	-10.4	42.477	20.80		
T	20.561542196	-75.196137811	126.2	-11.8	42.495	18.35		
T	20.561547884	-75.196307473	122.8	-18.9	42.513	17.70		
T	20.561552631	-75.196449066	120.5	-15.5	42.528	14.77		
T	20.561612527	-75.196581349	118.1	-16.1	42.543	15.30		
T	20.561610612	-75.196524539	118.8	12.9	42.549	5.93		
T	20.561604872	-75.196354290	121.2	13.5	42.567	17.76		
T	20.561602006	-75.196269266	122.7	16.6	42.576	8.87		
T	20.561621862	-75.196038379	126.0	13.6	42.600	24.18		
T	20.561698071	-75.195822216	127.4	5.8	42.624	24.07		
T	20.561804976	-75.195684752	125.5	-10.2	42.642	18.59		
T	20.561912138	-75.195546957	124.2	-6.9	42.661	18.63		
T	20.562048272	-75.195432772	119.7	-23.5	42.680	19.21		
T	20.562157864	-75.195352874	116.3	-23.2	42.695	14.72		
T	20.562293827	-75.195209004	113.9	-11.1	42.716	21.25		
T	20.562375555	-75.195137319	113.7	-1.8	42.728	11.74		
T	20.562487339	-75.195154914	113.6	-1.1	42.740	12.51		
T	20.562599932	-75.195203861	115.7	15.8	42.754	13.47		
T	20.562712739	-75.195252392	118.4	19.8	42.767	13.48		
T	20.562824998	-75.195270038	121.4	24.4	42.780	12.56		
T	20.562937319	-75.195288266	125.2	29.8	42.793	12.58		
T	20.563131978	-75.195305796	130.0	22.1	42.814	21.63		
T	20.563271264	-75.195327521	132.0	13.2	42.830	15.59		
T	20.563437777	-75.195316197	134.6	13.8	42.848	18.47		
T	20.563464921	-75.195283124	134.5	-2.3	42.853	4.57		
T	20.563353236	-75.195259507	132.0	-19.3	42.865	12.61		
T	20.563241196	-75.195203566	129.6	-17.9	42.879	13.71		
T	20.562990913	-75.195190040	125.2	-15.7	42.907	27.75		
T	20.562879205	-75.195202831	122.2	-24.5	42.919	12.44		
T	20.562711951	-75.195221983	118.1	-22.1	42.938	18.62		
T	20.562599212	-75.195172991	115.5	-19.1	42.951	13.49		
T	20.562486613	-75.195124060	113.5	-15.0	42.965	13.47		
T	20.562374628	-75.195107935	113.7	1.5	42.977	12.51		
T	20.562235162	-75.195131596	114.0	2.0	42.993	15.64		
T	20.562094798	-75.195129471	116.5	16.5	43.009	15.54		
T	20.561983591	-75.195151216	118.7	17.2	43.021	12.52		
T	20.562011373	-75.195145732	118.2	-17.0	43.024	3.13		
T	20.562122646	-75.195124043	116.0	-17.3	43.037	12.53		
T	20.562262186	-75.195096846	113.9	-13.3	43.052	15.71		
T	20.562457393	-75.195065554	113.4	-2.5	43.074	21.86		
T	20.562680534	-75.195070715	116.2	11.5	43.099	24.71		
T	20.562903599	-75.195044945	120.4	17.1	43.124	24.84		
T	20.563127213	-75.195019649	124.4	16.1	43.149	24.90		
T	20.563349950	-75.195001451	127.3	11.7	43.173	24.73		
T	20.563544357	-75.194955100	130.2	13.0	43.196	22.06		
T	20.563767272	-75.194939140	134.7	18.2	43.220	24.74		
T	20.563990085	-75.194891177	137.0	9.1	43.245	25.17		
T	20.564184983	-75.194812834	136.5	-2.0	43.269	23.07		
T	20.564352482	-75.194768802	137.7	6.3	43.288	19.10		
T	20.564492192	-75.194726643	139.8	12.9	43.304	16.08		
T	20.564688126	-75.194680571	146.1	28.2	43.326	22.22		
T	20.564884191	-75.194601821	149.1	12.9	43.349	23.21		
T	20.565108817	-75.194553691	152.0	11.5	43.375	25.37		
T	20.565277793	-75.194508545	153.1	5.6	43.394	19.29		
T	20.565447162	-75.194430010	154.3	6.1	43.414	20.46		
T	20.565672936	-75.194414037	158.8	18.0	43.439	25.05		
T	20.565927289	-75.194396043	163.8	17.4	43.468	28.22		
T	20.566068760	-75.194386034	166.4	17.1	43.483	15.70		
T	20.566238047	-75.194440798	173.0	33.5	43.503	19.59		
T	20.566407609	-75.194462450	178.7	30.2	43.522	18.91		
T	20.566552658	-75.194477573	182.5	23.2	43.538	16.14		
T	20.566729903	-75.194482929	185.3	14.7	43.557	19.63		
T	20.566847554	-75.194531605	186.0	5.0	43.571	13.98		
T	20.566964126	-75.194550468	186.5	3.6	43.585	13.05		
T	20.567110984	-75.194564029	186.5	-0.2	43.601	16.32		
T	20.567292053	-75.194564885	185.2	-6.2	43.621	20.05		
T	20.567412304	-75.194545428	183.3	-14.3	43.634	13.47		
T	20.567594482	-75.194546253	177.3	-29.7	43.655	20.17		
T	20.567776061	-75.194516927	168.8	-41.9	43.675	20.33		
T	20.567985242	-75.194488943	166.7	-8.8	43.698	23.34		
T	20.568167594	-75.194525537	165.3	-6.9	43.719	20.55		
T	20.568320514	-75.194566025	165.2	-0.7	43.736	17.45		
T	20.568443196	-75.194611415	167.5	16.2	43.751	14.38		
T	20.568561063	-75.194665348	170.5	21.1	43.765	14.21		
T	20.568678360	-75.194720390	174.2	25.7	43.779	14.20		
T	20.568765910	-75.194746182	177.2	29.6	43.789	10.06		
T	20.568968612	-75.194765767	183.3	27.2	43.812	22.53		
T	20.569168737	-75.194789580	188.2	22.3	43.834	22.29		
T	20.569341908	-75.194812211	189.0	3.6	43.853	19.32		
T	20.569457108	-75.194806114	189.5	4.6	43.866	12.77		
T	20.569688500	-75.194857506	193.9	16.6	43.892	26.17		
T	20.569890712	-75.194878716	199.0	22.8	43.915	22.50		
T	20.570092292	-75.194868590	205.7	30.0	43.937	22.34		
T	20.570295324	-75.194856661	213.5	34.6	43.959	22.51		
T	20.570438573	-75.194850639	218.5	31.7	43.975	15.87		
T	20.570582756	-75.194843432	223.0	27.7	43.991	15.98		
T	20.570766136	-75.194821507	224.7	8.5	44.012	20.43		
T	20.570918285	-75.194804494	225.9	7.1	44.029	16.94		
T	20.571070489	-75.194787748	227.0	6.6	44.046	16.94		
T	20.571192457	-75.194774328	225.5	-11.2	44.059	13.58		
T	20.571417875	-75.194736709	220.4	-20.1	44.084	25.26		
T	20.571613127	-75.194735425	215.5	-22.8	44.106	21.62		
T	20.571744341	-75.194744709	214.2	-8.6	44.121	14.56		
T	20.571942675	-75.194708828	213.8	-2.0	44.143	22.27		
T	20.572074780	-75.194718188	214.9	7.3	44.158	14.66		
T	20.572207261	-75.194727572	215.9	7.0	44.172	14.70		
T	20.572339572	-75.194704880	213.7	-14.6	44.187	14.84		
T	20.572540552	-75.194701502	209.8	-17.9	44.209	22.25		
T	20.572676228	-75.194676064	205.9	-25.1	44.225	15.25		
T	20.572812908	-75.194649936	202.8	-20.0	44.240	15.38		
T	20.572984412	-75.194617150	200.5	-12.3	44.259	19.29		
T	20.573190049	-75.194545830	198.6	-7.8	44.283	23.95		
T	20.573364151	-75.194511628	195.1	-18.0	44.303	19.60		
T	20.573543271	-75.194472858	189.0	-30.2	44.323	20.24		
T	20.573687225	-75.194441699	184.3	-28.6	44.339	16.27		
T	20.573872246	-75.194431514	177.8	-31.6	44.360	20.51		
T	20.573987948	-75.194467810	176.1	-13.3	44.373	13.36		
T	20.574126250	-75.194477324	175.3	-4.8	44.389	15.34		
T	20.574263329	-75.194488458	172.5	-18.5	44.404	15.22		
T	20.574403887	-75.194530026	168.0	-28.1	44.420	16.15		
T	20.574544298	-75.194572255	167.4	-3.6	44.436	16.16		
T	20.574685576	-75.194614172	168.9	9.1	44.452	16.24		
T	20.574858834	-75.194687167	169.6	3.5	44.473	20.64		
T	20.574996429	-75.194733573	169.6	-0.0	44.489	15.98		
T	20.575139494	-75.194809039	169.2	-2.1	44.507	17.69		
T	20.575277987	-75.194821875	170.7	9.6	44.522	15.39		
T	20.575420161	-75.194865477	172.4	10.4	44.538	16.38		
T	20.575595363	-75.194905963	173.7	6.7	44.558	19.85		
T	20.575735447	-75.194952356	170.0	-22.8	44.575	16.25		
T	20.575874572	-75.194999962	165.9	-25.8	44.591	16.18		
T	20.575984931	-75.195081586	160.9	-33.5	44.606	14.89		
T	20.576064280	-75.195165273	155.4	-44.5	44.618	12.38		
T	20.576112226	-75.195285110	147.9	-54.7	44.632	13.58		
T	20.576135585	-75.195401672	146.8	-9.0	44.644	12.42		
T	20.576202882	-75.195574618	144.5	-11.6	44.663	19.51		
T	20.576264044	-75.195719259	139.8	-28.8	44.680	16.53		
T	20.576286007	-75.195838276	135.7	-32.6	44.693	12.64		
T	20.576311565	-75.196057051	130.6	-22.2	44.716	22.98		
T	20.576328314	-75.196282929	128.7	-7.8	44.739	23.62		
T	20.576377795	-75.196540558	130.4	6.2	44.767	27.41		
T	20.576454262	-75.196800090	135.1	16.3	44.795	28.35		
T	20.576455078	-75.197037920	137.4	9.6	44.820	24.80		
T	20.576483749	-75.197276338	139.9	9.9	44.845	25.06		
T	20.576492123	-75.197406806	139.9	-0.1	44.859	13.63		
T	20.576503504	-75.197535390	139.8	-1.2	44.872	13.47		
T	20.576530351	-75.197756306	138.4	-5.8	44.895	23.22		
T	20.576521601	-75.197947896	133.1	-26.3	44.915	20.00		
T	20.576497649	-75.198081072	128.2	-34.7	44.929	14.14		
T	20.576438945	-75.198217849	121.0	-46.2	44.945	15.67		
T	20.576418465	-75.198348973	115.9	-36.5	44.959	13.86		
T	20.576331719	-75.198485238	111.7	-24.8	44.976	17.15		
T	20.576283488	-75.198649892	109.2	-13.7	44.994	17.98		
T	20.576249608	-75.198720971	109.9	8.3	45.002	8.31		
T	20.576135465	-75.199043198	116.2	17.6	45.038	35.89		
T	20.576098558	-75.199115775	118.3	24.4	45.047	8.60		
T	20.576104802	-75.198908308	114.5	-17.8	45.068	21.64		
T	20.576142787	-75.198800928	112.4	-17.3	45.080	11.96		
T	20.576137750	-75.198599720	110.8	-7.5	45.101	20.99		
T	20.576126177	-75.198402506	112.6	8.6	45.122	20.60		
T	20.576117127	-75.198169824	114.9	9.6	45.146	24.28		
T	20.576104694	-75.197939401	117.5	10.8	45.170	24.06		
T	20.576083467	-75.197680929	120.0	9.4	45.197	27.05		
T	20.576038127	-75.197487677	120.5	2.1	45.218	20.76		
T	20.575992345	-75.197329019	120.3	-1.0	45.235	17.30		
T	20.575983229	-75.197165272	120.8	2.8	45.253	17.10		
T	20.575867775	-75.196947377	119.5	-5.0	45.279	26.07		
T	20.575860680	-75.196782541	120.6	6.2	45.296	17.20		
T	20.575758396	-75.196543551	123.2	9.7	45.323	27.37		
T	20.575672712	-75.196428821	126.0	18.4	45.338	15.27		
T	20.575589894	-75.196312386	128.3	15.2	45.354	15.21		
T	20.575517067	-75.196154673	130.5	11.7	45.372	18.31		
T	20.575479973	-75.196025643	131.7	8.7	45.386	14.07		
T	20.575404215	-75.195904532	133.6	12.4	45.401	15.16		
T	20.575316695	-75.195793415	135.6	13.6	45.416	15.10		
T	20.575259500	-75.195681718	137.8	16.5	45.430	13.26		
T	20.575165120	-75.195577564	139.0	7.6	45.445	15.07		
T	20.575073704	-75.195471633	141.7	18.0	45.460	14.98		
T	20.575034021	-75.195312767	146.3	27.2	45.477	17.14		
T	20.575001194	-75.195349898	144.9	-26.0	45.482	5.31		
T	20.575004608	-75.195447854	142.1	-27.5	45.492	10.22		
T	20.574978847	-75.195613389	140.3	-10.6	45.510	17.49		
T	20.575017395	-75.195849987	141.8	6.1	45.535	25.03		
T	20.575034387	-75.196139111	144.7	9.8	45.565	30.20		
T	20.575041320	-75.196537586	151.6	16.5	45.607	41.55		
T	20.575108991	-75.196776752	149.5	-7.9	45.633	26.04		
T	20.575144176	-75.197053615	144.5	-17.4	45.662	29.13		
T	20.575173595	-75.197302016	136.7	-29.8	45.688	26.10		
T	20.575274740	-75.197541326	125.3	-41.8	45.715	27.35		
T	20.575298687	-75.197761545	115.4	-42.8	45.738	23.11		
T	20.575322690	-75.197982293	110.2	-22.4	45.761	23.17		
T	20.575253274	-75.198159496	109.6	-2.8	45.781	20.01		
T	20.575324218	-75.198082928	108.7	-7.7	45.793	11.20		
T	20.575391275	-75.197975013	109.7	7.0	45.806	13.48		
T	20.575441492	-75.197776718	112.7	14.0	45.828	21.41		
T	20.575518609	-75.197512131	117.2	15.7	45.856	28.88		
T	20.575562339	-75.197216995	120.9	12.0	45.888	31.15		
T	20.575616537	-75.196948403	121.3	1.3	45.916	28.64		
T	20.575701006	-75.196712767	122.5	4.4	45.943	26.29		
T	20.575750202	-75.196447921	124.2	6.2	45.971	28.15		
T	20.575835179	-75.196110077	125.0	2.1	46.007	36.46		
T	20.575832655	-75.195942219	126.8	10.3	46.025	17.50		
T	20.575748300	-75.195861137	128.4	12.2	46.037	12.60		
T	20.575626497	-75.195787280	130.6	14.2	46.053	15.53		
T	20.575506951	-75.195712228	133.1	16.3	46.068	15.38		
T	20.575272428	-75.195526374	140.2	21.8	46.101	32.40		
T	20.575072565	-75.195438962	142.7	10.6	46.124	23.93		
T	20.574827115	-75.195241811	150.2	22.0	46.159	34.07		
T	20.574568532	-75.195092054	153.1	9.0	46.191	32.61		
T	20.574340596	-75.194976374	153.8	2.5	46.219	27.97		
T	20.574090984	-75.194889509	159.1	18.1	46.248	29.08		
T	20.573830966	-75.194748309	169.3	31.5	46.281	32.33		
T	20.573564997	-75.194682460	181.0	38.8	46.311	30.24		
T	20.573376069	-75.194631410	190.0	41.5	46.332	21.58		
T	20.573157592	-75.194616203	196.6	27.5	46.357	24.24		
T	20.572913841	-75.194566516	203.3	24.3	46.384	27.48		
T	20.572670056	-75.194518775	208.2	17.8	46.412	27.45		
T	20.572403038	-75.194467482	211.5	10.9	46.442	30.04		
T	20.572104417	-75.194455020	211.3	-0.5	46.475	33.09		
T	20.571775429	-75.194415184	209.8	-4.0	46.511	36.66		
T	20.571481426	-75.194369579	214.5	14.1	46.544	32.89		
T	20.571129592	-75.194361719	220.4	15.3	46.583	38.96		
T	20.570855221	-75.194360365	217.0	-11.3	46.614	30.38		
T	20.570549872	-75.194332136	210.4	-19.4	46.647	33.93		
T	20.570259511	-75.194349304	202.9	-23.4	46.680	32.20		
T	20.569941771	-75.194366340	196.2	-19.1	46.715	35.22		
T	20.569682053	-75.194380265	192.1	-14.0	46.744	28.79		
T	20.569509032	-75.194389541	190.5	-8.8	46.763	19.18		
T	20.569276876	-75.194404424	186.8	-14.4	46.789	25.75		
T	20.569132833	-75.194444780	184.2	-15.8	46.805	16.49		
T	20.569017198	-75.194451782	181.3	-22.1	46.818	12.82		
T	20.568931556	-75.194487872	179.5	-17.3	46.828	10.20		
T	20.568788188	-75.194527441	176.4	-19.2	46.845	16.40		
T	20.568673708	-75.194565337	173.6	-20.7	46.858	13.28		
T	20.568589916	-75.194663603	171.4	-16.4	46.872	13.82		
T	20.568358099	-75.194744558	163.8	-28.0	46.899	27.02		
T	20.568120821	-75.194803069	160.5	-12.3	46.926	26.97		
T	20.567855917	-75.194927592	161.3	2.4	46.958	32.07		
T	20.567617239	-75.195023613	165.6	15.3	46.986	28.26		
T	20.567406894	-75.195087326	170.7	21.0	47.010	24.22		
T	20.567198839	-75.195180469	173.4	10.8	47.035	25.00		
T	20.567081914	-75.195258197	172.4	-6.5	47.050	15.27		
T	20.566968051	-75.195362591	170.8	-9.4	47.067	16.65		
T	20.566852468	-75.195438170	170.8	-0.1	47.082	15.03		
T	20.566737081	-75.195513623	170.4	-2.9	47.097	15.00		
T	20.566621887	-75.195588949	170.1	-1.9	47.112	14.98		
T	20.566510517	-75.195721425	167.8	-12.2	47.131	18.52		
T	20.566397260	-75.195825547	167.1	-4.6	47.147	16.59		
T	20.566279959	-75.195906049	169.1	13.5	47.163	15.46		
T	20.566132783	-75.195992315	171.7	13.9	47.181	18.61		
T	20.566016087	-75.196072567	173.2	9.5	47.197	15.39		
T	20.565899698	-75.196152609	174.9	11.2	47.212	15.35		
T	20.565813454	-75.196226755	175.6	5.7	47.224	12.29		
T	20.565641284	-75.196342679	176.1	2.1	47.247	22.57		
T	20.565410101	-75.196405719	178.9	10.8	47.273	26.43		
T	20.565179945	-75.196468478	180.8	7.1	47.300	26.31		
T	20.564985282	-75.196576598	180.0	-3.1	47.324	24.32		
T	20.564819861	-75.196615098	176.8	-17.2	47.343	18.75		
T	20.564683310	-75.196681684	173.7	-18.5	47.359	16.64		
T	20.564435180	-75.196723804	166.5	-26.2	47.387	27.82		
T	20.564297825	-75.196760467	161.2	-33.4	47.403	15.68		
T	20.564160524	-75.196797115	156.1	-32.9	47.418	15.67		
T	20.564050906	-75.196832396	153.2	-22.2	47.431	12.68		
T	20.563886102	-75.196870283	149.7	-18.8	47.450	18.67		
T	20.563614328	-75.197000869	143.3	-19.7	47.483	33.03		
T	20.563613398	-75.196971057	143.7	13.1	47.486	3.11		
T	20.563944149	-75.196957089	149.8	16.6	47.523	36.65		
T	20.564248142	-75.196942409	155.7	17.6	47.556	33.69		
T	20.564607839	-75.196924858	167.1	28.6	47.596	39.86		
T	20.565026412	-75.196896996	174.2	15.2	47.643	46.43		
T	20.565497064	-75.196911906	171.0	-6.0	47.695	52.13		
T	20.566214098	-75.196787006	155.5	-19.3	47.775	80.44		
T	20.566751148	-75.196709477	140.4	-25.2	47.835	60.00		
T	20.567196655	-75.196720404	146.7	12.7	47.885	49.34		
T	20.567657744	-75.196690734	158.3	22.8	47.936	51.14		
T	20.568206853	-75.196720201	168.6	16.9	47.997	60.87		
T	20.568900161	-75.196679376	173.5	6.5	48.073	76.88		
T	20.569544915	-75.196761910	192.5	26.4	48.145	71.90		
T	20.570208018	-75.196761940	193.8	1.7	48.219	73.41		
T	20.570957340	-75.196734332	195.8	2.5	48.302	83.01		
T	20.571728231	-75.196694005	187.5	-9.7	48.387	85.45		
T	20.572320374	-75.196635063	197.8	15.6	48.453	65.84		
T	20.572808234	-75.196572146	194.2	-6.6	48.507	54.41		
T	20.573334131	-75.196478302	187.4	-11.4	48.566	59.04		
T	20.573681828	-75.196421199	181.4	-15.6	48.605	38.95		
T	20.573961472	-75.196375700	180.3	-3.3	48.637	31.32		
T	20.574042492	-75.196454763	175.6	-38.9	48.649	12.18		
T	20.573772337	-75.196657135	170.1	-15.0	48.686	36.60		
T	20.573677203	-75.196731918	169.2	-6.9	48.699	13.10		
T	20.573483138	-75.196851674	169.4	0.7	48.723	24.85		
T	20.573144878	-75.196998468	175.8	15.7	48.764	40.46		
T	20.572613333	-75.197127665	189.6	22.9	48.824	60.37		
T	20.572022404	-75.197180699	185.1	-6.8	48.890	65.66		
T	20.571340518	-75.197244175	174.3	-14.2	48.966	75.78		
T	20.570586281	-75.197330507	173.4	-1.2	49.050	83.99		
T	20.569813018	-75.197318834	190.3	19.8	49.135	85.62		
T	20.568905841	-75.197284272	182.0	-8.3	49.236	100.50		
T	20.568043296	-75.197201144	169.3	-13.2	49.332	95.89		
T	20.567121771	-75.197128047	146.1	-22.7	49.434	102.31		
T	20.566231883	-75.197173193	149.6	3.6	49.533	98.63		
T	20.565452041	-75.197181121	164.8	17.6	49.619	86.34		
T	20.564756579	-75.197150375	169.4	6.0	49.696	77.06		
T	20.564251888	-75.197061929	155.3	-24.9	49.753	56.63		
T	20.563808035	-75.197023054	147.0	-16.9	49.802	49.31		
T	20.563477146	-75.197004503	140.9	-16.6	49.839	36.68		
T	20.563256256	-75.197015964	137.4	-14.5	49.863	24.48		
T	20.563035549	-75.197027415	133.7	-14.8	49.888	24.46		
T	20.562815025	-75.197038856	126.5	-29.5	49.912	24.44		
T	20.562622217	-75.197048860	120.5	-28.1	49.933	21.37		
T	20.562428738	-75.197028618	115.4	-23.9	49.955	21.52		
T	20.562456254	-75.197027189	115.9	14.9	49.958	3.05		
T	20.562760730	-75.197071970	124.9	26.7	49.992	34.03		
T	20.563370681	-75.197161679	137.9	19.0	50.060	68.17		
T	20.564036497	-75.197251317	150.1	16.5	50.135	74.30		
T	20.564511700	-75.197345148	163.6	25.2	50.188	53.51		
T	20.564992246	-75.197428984	170.0	11.8	50.242	53.92		
T	20.565553047	-75.197430511	158.5	-18.4	50.304	62.09		
T	20.566065843	-75.197466091	150.9	-13.5	50.361	56.89		
T	20.566776965	-75.197441320	139.9	-13.9	50.440	78.77		
T	20.567412475	-75.197461038	151.9	17.0	50.510	70.39		
T	20.568105178	-75.197481978	171.3	25.2	50.587	76.72		
T	20.568794909	-75.197510123	187.8	21.6	50.663	76.42		
T	20.569570010	-75.197569447	194.7	8.1	50.749	86.04		
T	20.570350682	-75.197571175	175.3	-22.5	50.836	86.43		
T	20.570988743	-75.197553548	169.1	-8.7	50.906	70.66		
T	20.571438038	-75.197627884	169.2	0.1	50.957	50.34		
T	20.571778587	-75.197695690	175.3	15.9	50.995	38.36		
T	20.572241155	-75.197690667	187.0	22.8	51.046	51.21		
T	20.572214930	-75.197787213	185.7	-11.8	51.057	10.48		
T	20.571734085	-75.197979296	173.4	-21.7	51.114	56.88		
T	20.571012802	-75.198154982	158.1	-18.7	51.196	81.93		
T	20.570127753	-75.198320746	161.8	3.7	51.295	99.50		
T	20.569218225	-75.198590041	193.1	30.0	51.400	104.54		
T	20.568394844	-75.198777766	178.1	-16.0	51.493	93.24		
